(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(71055, -73, 3);200;ר;71055;(1, 46, 17, 41, 71055);בריעה;2;18786;(1, 46, 17, 10, 18786);10;ובני אשר ימנה וישוה וישוי ובריעה ושרח אחתם ובני בריעה חבר ומלכיאל
(71055, -73, 3);90;צ;70982;(1, 46, 16, 7, 70982);צפיון;1;18770;(1, 46, 16, 3, 18770);3;ובני גד צפיון וחגי שוני ואצבן ערי וארודי ואראלי
(71055, -73, 3);8;ח;70909;(1, 46, 14, 20, 70909);ויחלאל;3;18750;(1, 46, 14, 5, 18750);5;ובני זבלון סרד ואלון ויחלאל
