(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(167520, -33, 3);200;ר;167520;(3, 16, 27, 5, 167520);פר;2;44296;(3, 16, 27, 2, 44296);2;ואת פר החטאת ואת שעיר החטאת אשר הובא את דמם לכפר בקדש יוציא אל מחוץ למחנה ושרפו באש את ערתם ואת בשרם ואת פרשם
(167520, -33, 3);90;ץ;167487;(3, 16, 26, 32, 167487);ורחץ;4;44286;(3, 16, 26, 7, 44286);7;והמשלח את השעיר לעזאזל יכבס בגדיו ורחץ את בשרו במים ואחרי כן יבוא אל המחנה
(167520, -33, 3);8;ח;167454;(3, 16, 25, 21, 167454);המזבחה;5;44279;(3, 16, 25, 5, 44279);5;ואת חלב החטאת יקטיר המזבחה
