(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(134978, -75, 3);200;ר;134978;(2, 37, 6, 7, 134978);כפרת;3;35601;(2, 37, 6, 2, 35601);2;ויעש כפרת זהב טהור אמתים וחצי ארכה ואמה וחצי רחבה
(134978, -75, 3);90;צ;134903;(2, 37, 3, 58, 134903);צלעו;1;35581;(2, 37, 3, 17, 35581);17;ויצק לו ארבע טבעת זהב על ארבע פעמתיו ושתי טבעת על צלעו האחת ושתי טבעת על צלעו השנית
(134978, -75, 3);8;ח;134828;(2, 37, 2, 20, 134828);ומחוץ;3;35559;(2, 37, 2, 5, 35559);5;ויצפהו זהב טהור מבית ומחוץ ויעש לו זר זהב סביב
