(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(100208, -85, 3);200;ר;100208;(2, 15, 9, 3, 100208);אמר;3;26426;(2, 15, 9, 1, 26426);1;אמר אויב ארדף אשיג אחלק שלל תמלאמו נפשי אריק חרבי תורישמו ידי
(100208, -85, 3);90;ץ;100123;(2, 15, 6, 30, 100123);תרעץ;4;26404;(2, 15, 6, 7, 26404);7;ימינך יהוה נאדרי בכח ימינך יהוה תרעץ אויב
(100208, -85, 3);8;ח;100038;(2, 15, 4, 11, 100038);וחילו;2;26384;(2, 15, 4, 3, 26384);3;מרכבת פרעה וחילו ירה בים ומבחר שלשיו טבעו בים סוף
