(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(167501, 67, 3);200;ר;167501;(3, 16, 26, 46, 167501);ואחרי;4;44290;(3, 16, 26, 11, 44290);11;והמשלח את השעיר לעזאזל יכבס בגדיו ורחץ את בשרו במים ואחרי כן יבוא אל המחנה
(167501, 67, 3);90;ץ;167568;(3, 16, 27, 53, 167568);מחוץ;4;44309;(3, 16, 27, 15, 44309);15;ואת פר החטאת ואת שעיר החטאת אשר הובא את דמם לכפר בקדש יוציא אל מחוץ למחנה ושרפו באש את ערתם ואת בשרם ואת פרשם
(167501, 67, 3);8;ח;167635;(3, 16, 28, 34, 167635);ואחרי;3;44327;(3, 16, 28, 9, 44327);9;והשרף אתם יכבס בגדיו ורחץ את בשרו במים ואחרי כן יבוא אל המחנה
