(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(200977, -45, 3);200;ר;200977;(4, 7, 61, 8, 200977);קערת;3;52987;(4, 7, 61, 2, 52987);2;קרבנו קערת כסף אחת שלשים ומאה משקלה מזרק אחד כסף שבעים שקל בשקל הקדש שניהם מלאים סלת בלולה בשמן למנחה
(200977, -45, 3);90;צ;200932;(4, 7, 59, 68, 200932);פדהצור;4;52977;(4, 7, 59, 17, 52977);17;ולזבח השלמים בקר שנים אילם חמשה עתדים חמשה כבשים בני שנה חמשה זה קרבן גמליאל בן פדהצור
(200977, -45, 3);8;ח;200887;(4, 7, 59, 23, 200887);חמשה;1;52966;(4, 7, 59, 6, 52966);6;ולזבח השלמים בקר שנים אילם חמשה עתדים חמשה כבשים בני שנה חמשה זה קרבן גמליאל בן פדהצור
