(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(12817, 71, 3);200;ר;12817;(1, 11, 3, 60, 12817);והחמר;5;3430;(1, 11, 3, 14, 3430);14;ויאמרו איש אל רעהו הבה נלבנה לבנים ונשרפה לשרפה ותהי להם הלבנה לאבן והחמר היה להם לחמר
(12817, 71, 3);90;ץ;12888;(1, 11, 4, 61, 12888);הארץ;4;3450;(1, 11, 4, 17, 3450);17;ויאמרו הבה נבנה לנו עיר ומגדל וראשו בשמים ונעשה לנו שם פן נפוץ על פני כל הארץ
(12817, 71, 3);8;ח;12959;(1, 11, 6, 32, 12959);החלם;2;3471;(1, 11, 6, 10, 3471);10;ויאמר יהוה הן עם אחד ושפה אחת לכלם וזה החלם לעשות ועתה לא יבצר מהם כל אשר יזמו לעשות
