(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(120758, 89, 3);200;ר;120758;(2, 29, 4, 33, 120758);ורחצת;2;31857;(2, 29, 4, 10, 31857);10;ואת אהרן ואת בניו תקריב אל פתח אהל מועד ורחצת אתם במים
(120758, 89, 3);90;צ;120847;(2, 29, 6, 7, 120847);המצנפת;3;31880;(2, 29, 6, 2, 31880);2;ושמת המצנפת על ראשו ונתת את נזר הקדש על המצנפת
(120758, 89, 3);8;ח;120936;(2, 29, 9, 2, 120936);וחגרת;2;31903;(2, 29, 9, 1, 31903);1;וחגרת אתם אבנט אהרן ובניו וחבשת להם מגבעת והיתה להם כהנה לחקת עולם ומלאת יד אהרן ויד בניו
