(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(741, -49, 5);10;י;741;(1, 1, 16, 24, 741);הגדלים;5;190;(1, 1, 16, 6, 190);6;ויעש אלהים את שני המארת הגדלים את המאור הגדל לממשלת היום ואת המאור הקטן לממשלת הלילה ואת הכוכבים
(741, -49, 5);200;ר;692;(1, 1, 15, 12, 692);ברקיע;2;178;(1, 1, 15, 3, 178);3;והיו למאורת ברקיע השמים להאיר על הארץ ויהי כן
(741, -49, 5);6;ו;643;(1, 1, 14, 39, 643);היום;3;168;(1, 1, 14, 9, 168);9;ויאמר אלהים יהי מארת ברקיע השמים להבדיל בין היום ובין הלילה והיו לאתת ולמועדים ולימים ושנים
(741, -49, 5);2;ב;594;(1, 1, 13, 12, 594);בקר;1;157;(1, 1, 13, 4, 157);4;ויהי ערב ויהי בקר יום שלישי
(741, -49, 5);6;ו;545;(1, 1, 12, 30, 545);ועץ;1;143;(1, 1, 12, 8, 143);8;ותוצא הארץ דשא עשב מזריע זרע למינהו ועץ עשה פרי אשר זרעו בו למינהו וירא אלהים כי טוב
