(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(126021, -48, 3);200;ר;126021;(2, 32, 5, 45, 126021);מחר;3;33234;(2, 32, 5, 11, 33234);11;וירא אהרן ויבן מזבח לפניו ויקרא אהרן ויאמר חג ליהוה מחר
(126021, -48, 3);90;צ;125973;(2, 32, 4, 65, 125973);מצרים;2;33223;(2, 32, 4, 16, 33223);16;ויקח מידם ויצר אתו בחרט ויעשהו עגל מסכה ויאמרו אלה אלהיך ישראל אשר העלוך מארץ מצרים
(126021, -48, 3);8;ח;125925;(2, 32, 4, 17, 125925);בחרט;2;33212;(2, 32, 4, 5, 33212);5;ויקח מידם ויצר אתו בחרט ויעשהו עגל מסכה ויאמרו אלה אלהיך ישראל אשר העלוך מארץ מצרים
