(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(104266, -75, 3);200;ר;104266;(2, 18, 4, 13, 104266);אליעזר;6;27505;(2, 18, 4, 3, 27505);3;ושם האחד אליעזר כי אלהי אבי בעזרי ויצלני מחרב פרעה
(104266, -75, 3);90;צ;104191;(2, 18, 2, 17, 104191);צפרה;1;27485;(2, 18, 2, 6, 27485);6;ויקח יתרו חתן משה את צפרה אשת משה אחר שלוחיה
(104266, -75, 3);8;ח;104116;(2, 18, 1, 17, 104116);חתן;1;27464;(2, 18, 1, 5, 27464);5;וישמע יתרו כהן מדין חתן משה את כל אשר עשה אלהים למשה ולישראל עמו כי הוציא יהוה את ישראל ממצרים
