(n,d,k);LetterGematriaNumberValue;Letter;LetterPositionIndex;LetterCoordinatesD5K;Found in Word in Text;LetterPositionIndex In Word;WordNumber;WordCoordinatesDWTK;WordNumberInVerse;Found In Verse
(86871, 73, 4);100;ק;86871;(2, 7, 11, 3, 86871);ויקרא;3;22904;(2, 7, 11, 1, 22904);1;ויקרא גם פרעה לחכמים ולמכשפים ויעשו גם הם חרטמי מצרים בלהטיהם כן
(86871, 73, 4);10;י;86944;(2, 7, 12, 23, 86944);לתנינם;4;22920;(2, 7, 12, 5, 22920);5;וישליכו איש מטהו ויהיו לתנינם ויבלע מטה אהרן את מטתם
(86871, 73, 4);200;ר;87017;(2, 7, 14, 21, 87017);פרעה;2;22941;(2, 7, 14, 7, 22941);7;ויאמר יהוה אל משה כבד לב פרעה מאן לשלח העם
(86871, 73, 4);100;ק;87090;(2, 7, 15, 61, 87090);תקח;2;22961;(2, 7, 15, 17, 22961);17;לך אל פרעה בבקר הנה יצא המימה ונצבת לקראתו על שפת היאר והמטה אשר נהפך לנחש תקח בידך
